	RANN			n2p2			meam
17.66454758	-1.27785987		17.37805839	-1.29744115		17.66660613	-1.256354544
17.89395444	-1.300986224		17.60374466	-1.312770082		17.89603972	-1.282199861
18.12533894	-1.322635943		17.83137649	-1.32811344		18.12745118	-1.306312951
18.35870955	-1.342876076		18.06096223	-1.343354743		18.36084899	-1.32875724
18.59407478	-1.361763691		18.29251022	-1.358380579		18.59624164	-1.349594206
18.8314431	-1.37934718		18.52602883	-1.373081552		18.83363763	-1.368883436
19.070823	-1.395668544		18.7615264	-1.387352319		19.07304543	-1.386682682
19.31222298	-1.410755434		18.99901127	-1.401095719		19.31447353	-1.403047905
19.55565151	-1.424597236		19.2384918	-1.414225419		19.55793044	-1.418033334
19.8011171	-1.437234589		19.47997635	-1.426664662		19.80342462	-1.43169151
20.04862821	-1.448701488		19.72347325	-1.4383438		20.05096459	-1.444073336
20.29819335	-1.459022894		19.96899087	-1.449203188		20.30055881	-1.455228124
20.549821	-1.468227964		20.21653754	-1.459191377		20.55221578	-1.465203637
20.80351965	-1.476360542		20.46612162	-1.468266949		20.80594399	-1.474046137
21.05929778	-1.483481461		20.71775146	-1.476398185		21.06175193	-1.481800425
21.31716389	-1.489661231		20.97143542	-1.483564298		21.31964809	-1.488509886
21.57712645	-1.494966535		21.22718183	-1.489755432		21.57964095	-1.494216525
21.83919397	-1.499446963		21.48499905	-1.494971236		21.84173901	-1.498961012
22.10337492	-1.5031281		21.74489543	-1.499217949		22.10595074	-1.502782715
22.3696778	-1.506021493		22.00687932	-1.502509705		22.37228465	-1.50571974
22.63811108	-1.508139634		22.27095908	-1.504865941		22.64074922	-1.50780897
22.90868327	-1.509464177		22.53714304	-1.506312562		22.91135294	-1.509086094
23.18140284	-1.509989414		22.80543956	-1.506879785		23.1841043	-1.509585648
23.45627829	-1.509730656		23.07585699	-1.506602066		23.45901178	-1.509341044
23.7333181	-1.508722386		23.34840368	-1.505517042		23.73608387	-1.508384604
24.01253076	-1.507010874		23.62308799	-1.503659504		24.01532907	-1.506747595
24.29392476	-1.504644629		23.89991825	-1.501063654		24.29675586	-1.504460251
24.57750859	-1.501666126		24.17890282	-1.497766204		24.58037274	-1.501551815
24.86329073	-1.498107109		24.46005005	-1.493805484		24.86618818	-1.498050556
25.15127966	-1.493988117		24.7433683	-1.489220407		25.15421068	-1.493983809
25.44148389	-1.489321422		25.0288659	-1.484049462		25.44444872	-1.489377991
25.7339119	-1.484115706		25.31655122	-1.47832958		25.73691081	-1.484258639
26.02857216	-1.478380687		25.60643259	-1.472094363		26.03160541	-1.478650426
26.32547318	-1.472130352		25.89851838	-1.465372272		26.32854103	-1.472577195
26.62462344	-1.465384135		26.19281692	-1.458186216		26.62772615	-1.466061977
26.92603143	-1.458166142		26.48933658	-1.450553474		26.92916926	-1.45912702
27.22970563	-1.450502949		26.7880857	-1.442485707		27.23287885	-1.451793808
27.53565453	-1.442420794		27.08907263	-1.433984708		27.53886341	-1.444083088
27.84388663	-1.433942933		27.39230571	-1.425045828		27.84713142	-1.436014887
28.1544104	-1.425087769		27.69779331	-1.415659555		28.15769138	-1.42760854
28.46723434	-1.415868098		28.00554377	-1.40581175		28.47055177	-1.418882704
28.78236693	-1.406291568		28.31556544	-1.395483417		28.78572109	-1.409855383
29.09981666	-1.396362251		28.62786668	-1.384649092		29.10320781	-1.400543946
29.41959202	-1.38608311		28.94245582	-1.373279062		29.42302044	-1.390965146
29.74170149	-1.375468534		29.25934122	-1.361342372		29.74516745	-1.381135138
30.06615358	-1.36460154		29.57853124	-1.348807697		30.06965734	-1.371069501
30.39295675	-1.353499336		29.90003421	-1.335643905		30.3964986	-1.36078325
30.7221195	-1.34215478		30.2238585	-1.321821299		30.72569971	-1.350290856
31.05365032	-1.330562721		30.55001245	-1.307312705		31.05726917	-1.339606263
31.38755769	-1.318721222		30.87850441	-1.292094428		31.39121545	-1.328742904
31.72385011	-1.306632393		31.20934273	-1.276147159		31.72754706	-1.317713715
32.06253606	-1.294302825		31.54253576	-1.259456738		32.06627248	-1.306531152
32.40362402	-1.28174368		31.87809185	-1.242015544		32.40740019	-1.295207207
32.74712249	-1.268970492		32.21601936	-1.223823826		32.75093869	-1.283753418
33.09303996	-1.256002742		32.55632662	-1.204890511		33.09689646	-1.272180888
33.4413849	-1.242863278		32.899022	-1.185233834		33.445282	-1.260500294
33.79216581	-1.229577639		33.24411384	-1.164881687		33.7961038	-1.248721905
34.14539118	-1.216173331		33.59161049	-1.143871904		34.14937033	-1.236855592
34.5010695	-1.2026791		33.9415203	-1.122252466		34.50509009	-1.224910838
34.85920924	-1.189124241		34.29385162	-1.10008157		34.86327157	-1.212896758
35.21981891	-1.175537948		34.64861281	-1.077427558		35.22392326	-1.200822102
35.58290698	-1.161948728		35.0058122	-1.054368441		35.58705365	-1.188695272
35.94848195	-1.148383881		35.36545816	-1.03098726		35.95267122	-1.176524331
36.3165523	-1.134860214		35.72755903	-1.007365535		36.32078446	-1.164317013
36.68712652	-1.121394022		36.09212316	-0.983588736		36.69140187	-1.152080736
